location,date,total_tests,total_cases,total_deaths,recovered,icu_patients,vent_patients
Malaysia,7/31/2020,970644,8976,125,8949,,
Malaysia,8/1/2020,974674,8985,125,8967,,
Malaysia,8/2/2020,979178,8999,125,8981,,
Malaysia,8/3/2020,983297,9001,125,8983,,
Malaysia,8/4/2020,991333,9002,125,8993,,
Malaysia,8/5/2020,1001090,9023,125,9014,,
Malaysia,8/6/2020,1012660,9038,125,9029,,
Malaysia,8/7/2020,1024719,9063,125,9045,,
Malaysia,8/8/2020,1036339,9070,125,9061,,
Malaysia,8/9/2020,1045976,9083,125,9074,,
Malaysia,8/10/2020,1053531,9094,125,9085,,
Malaysia,8/11/2020,1063304,9103,125,9094,,
Malaysia,8/12/2020,1074020,9114,125,9105,,
Malaysia,8/13/2020,1085040,9129,125,9120,,
Malaysia,8/14/2020,1095768,9149,125,9140,,
Malaysia,8/15/2020,1106217,9175,125,9157,,
Malaysia,8/16/2020,1114246,9200,125,9182,,
Malaysia,8/17/2020,1120666,9212,125,9194,,
Malaysia,8/18/2020,1129091,9219,125,9201,,
Malaysia,8/19/2020,1141679,9235,125,9217,,
Malaysia,8/20/2020,1152140,9240,125,9222,,
Malaysia,8/21/2020,1160390,9249,125,9231,,
Malaysia,8/22/2020,1167949,9257,125,9248,,
Malaysia,8/23/2020,1176416,9267,125,9258,,
Malaysia,8/24/2020,1182845,9274,125,9265,,
Malaysia,8/25/2020,1191500,9285,125,9276,,
Malaysia,8/26/2020,1202764,9291,125,9282,,
Malaysia,8/27/2020,1212790,9296,125,9287,,
Malaysia,8/28/2020,1222854,9306,125,9297,,
Malaysia,8/29/2020,1232927,9317,125,9308,,
Malaysia,8/30/2020,1243540,9334,126,9325,,
Malaysia,8/31/2020,1253855,9340,127,9331,,
Malaysia,9/1/2020,1262848,9354,128,9345,,
Malaysia,9/2/2020,1270229,9360,128,9351,,
Malaysia,9/3/2020,1280878,9374,128,9365,,
Malaysia,9/4/2020,1290602,9385,128,9376,,
Malaysia,9/5/2020,1299724,9391,128,9382,,
Malaysia,9/6/2020,1307454,9397,128,9388,,
Malaysia,9/7/2020,1313774,9459,128,9440,,
Malaysia,9/8/2020,1322445,9559,128,9530,,
Malaysia,9/9/2020,1332917,9583,128,9545,,
Malaysia,9/10/2020,1342472,9628,128,9589,,
Malaysia,9/11/2020,1353826,9810,128,9741,,
Malaysia,9/12/2020,1362631,9868,128,9789,,
Malaysia,9/13/2020,1372154,9915,128,9836,,
Malaysia,9/14/2020,1383769,9946,128,9876,,
Malaysia,9/15/2020,1395578,9969,128,9909,,
Malaysia,9/16/2020,1407259,10031,128,9971,,
Malaysia,9/17/2020,1417154,10052,128,9992,,
Malaysia,9/18/2020,1427133,10147,129,10096,,
Malaysia,9/19/2020,1437354,10167,130,10126,,
Malaysia,9/20/2020,1444686,10219,130,10178,,
Malaysia,9/21/2020,1451697,10276,130,10225,,
Malaysia,9/22/2020,1463557,10358,130,10296,,
Malaysia,9/23/2020,,10505,133,10431,,
Malaysia,9/24/2020,1484812,10576,133,10491,,
Malaysia,9/25/2020,1493645,10687,133,10602,,
Malaysia,9/26/2020,1502110,10769,133,10672,,
Malaysia,9/27/2020,1510390,10919,134,10799,,
Malaysia,9/28/2020,1519220,11034,134,10913,,
Malaysia,9/29/2020,1533061,11135,134,11013,,
Malaysia,9/30/2020,1549750,11224,136,11112,,
Malaysia,10/1/2020,1566848,11484,136,11358,,
Malaysia,10/2/2020,1581208,11771,136,11630,,
Malaysia,10/3/2020,1598002,12088,137,11919,,
Malaysia,10/4/2020,1615041,12381,137,12208,,
Malaysia,10/5/2020,1627612,12813,137,12608,,
Malaysia,10/6/2020,1643651,13504,141,13220,,
Malaysia,10/7/2020,1663796,13993,141,13657,,
Malaysia,10/8/2020,1681809,14368,146,14009,,
Malaysia,10/9/2020,1703942,14722,152,14369,,
Malaysia,10/10/2020,1722837,15096,155,14734,,
Malaysia,10/11/2020,1738868,15657,157,15250,,
Malaysia,10/12/2020,1753991,16220,159,15782,,
Malaysia,10/13/2020,1768210,16880,163,16424,,
Malaysia,10/14/2020,1786829,17540,167,17031,,
Malaysia,10/15/2020,1810777,18129,170,17603,,
Malaysia,10/16/2020,1839700,18758,176,18195,,
Malaysia,10/17/2020,1863037,19627,180,18999,,
Malaysia,10/18/2020,1885847,20498,187,19822,,
Malaysia,10/19/2020,1903515,21363,190,20637,,
Malaysia,10/20/2020,1921435,22225,193,21447,,
Malaysia,10/21/2020,1940261,22957,199,22154,,
Malaysia,10/22/2020,1956010,23804,204,22876,,
Malaysia,10/23/2020,1973780,24514,214,23460,,
Malaysia,10/24/2020,1989231,25742,221,24506,,
Malaysia,10/25/2020,2006716,26565,229,25237,,
Malaysia,10/26/2020,2025727,27805,236,26331,,
Malaysia,10/27/2020,2044398,28640,238,27151,,
Malaysia,10/28/2020,2064016,29441,246,27910,,
Malaysia,10/29/2020,2083700,30090,246,28616,,
Malaysia,10/30/2020,2101890,30889,249,29345,,
Malaysia,10/31/2020,2118966,31548,249,30128,,
Malaysia,11/1/2020,2137657,32505,249,31042,,
Malaysia,11/2/2020,2156958,33339,251,31939,,
Malaysia,11/3/2020,2176725,34393,263,32914,,
Malaysia,11/4/2020,2198172,35425,271,33831,,
Malaysia,11/5/2020,2215701,36434,277,34685,,
Malaysia,11/6/2020,2238559,38189,279,36165,,
Malaysia,11/7/2020,2258128,39357,282,37153,,
Malaysia,11/8/2020,2275234,40209,286,37957,,
Malaysia,11/9/2020,2291344,41181,294,38793,,
Malaysia,11/10/2020,2309836,42050,300,39611,,
Malaysia,11/11/2020,2329033,42872,302,40428,,
Malaysia,11/12/2020,2349211,43791,303,41382,,
Malaysia,11/13/2020,2366985,45095,304,42660,,
Malaysia,11/14/2020,2385504,46209,306,43714,,
Malaysia,11/15/2020,2401043,47417,309,44714,,
Malaysia,11/16/2020,2416710,48520,313,45657,,
Malaysia,11/17/2020,2433079,49730,318,46647,,
Malaysia,11/18/2020,2451545,50390,322,47316,,
Malaysia,11/19/2020,2472687,51680,326,48372,,
Malaysia,11/20/2020,2492807,52638,329,49480,,
Malaysia,11/21/2020,2510332,53679,332,50458,,
Malaysia,11/22/2020,2528158,54775,335,51598,,
Malaysia,11/23/2020,2543655,56659,337,53033,,
Malaysia,11/24/2020,2559417,58847,341,54610,,
Malaysia,11/25/2020,2577387,59817,345,55331,,
Malaysia,11/26/2020,2596004,60752,348,56256,,
Malaysia,11/27/2020,2615087,61861,350,57221,,
Malaysia,11/28/2020,2634998,63176,354,58375,,
Malaysia,11/29/2020,2650368,64485,357,59391,,
Malaysia,11/30/2020,2667756,65697,360,60901,,
Malaysia,12/1/2020,2667756,67169,363,62266,,
